user_id,signup_date,acquisition_channel,experiment_group,activated,activation_date
286,2024-01-14,Organic,A,True,2024-01-21
287,2024-06-18,Paid Social,A,True,2024-06-24
288,2024-07-17,Organic,B,True,2024-07-19
289,2024-04-14,Paid Social,A,False,
290,2024-08-03,Paid Social,A,False,
291,2024-01-12,Influencer,B,False,
292,2024-01-14,Paid Social,A,True,2024-01-21
293,2024-10-27,Organic,B,False,
294,2024-05-11,Paid Social,B,True,2024-05-13
295,2024-02-16,Organic,A,False,
296,2024-07-09,Paid Social,A,False,
297,2024-10-08,Referral,A,True,2024-10-09
298,2024-03-19,Organic,B,True,2024-03-25
299,2024-08-15,Paid Social,B,True,2024-08-17
300,2024-02-01,Paid Social,B,False,
301,2024-01-19,Organic,A,False,
302,2024-07-12,Referral,B,False,
303,2024-07-16,Paid Social,B,True,2024-07-18
304,2024-08-20,Paid Social,A,True,2024-08-26
305,2024-09-22,Paid Social,B,False,
306,2024-12-22,Referral,B,False,
307,2024-07-07,Paid Social,A,True,2024-07-14
308,2024-04-27,Paid Social,A,True,2024-05-01
309,2024-10-17,Paid Social,B,True,2024-10-20
310,2024-04-08,Paid Social,A,True,2024-04-13
311,2024-06-09,Paid Social,B,True,2024-06-10
312,2024-01-29,Referral,B,False,
313,2024-01-10,Influencer,B,True,2024-01-10
314,2024-12-17,Paid Social,A,False,
315,2024-11-01,Referral,A,True,2024-11-08
316,2024-09-11,Referral,B,False,
317,2024-05-29,Paid Social,A,True,2024-06-01
318,2024-03-04,Paid Social,A,True,2024-03-11
319,2024-02-27,Paid Social,A,True,2024-02-29
320,2024-04-01,Influencer,A,False,
321,2024-07-19,Paid Social,B,False,
322,2024-09-17,Paid Social,A,True,2024-09-19
323,2024-08-28,Organic,B,True,2024-09-03
324,2024-04-12,Paid Social,B,True,2024-04-15
325,2024-12-14,Paid Social,A,False,
326,2024-09-26,Influencer,A,False,
327,2024-07-21,Organic,B,True,2024-07-25
328,2024-08-11,Referral,A,False,
329,2024-06-02,Organic,A,False,
330,2024-03-31,Organic,B,True,2024-04-06
331,2024-05-09,Organic,A,False,
332,2024-10-03,Referral,B,True,2024-10-06
333,2024-01-06,Paid Social,A,False,
334,2024-02-12,Organic,B,True,2024-02-13
335,2024-01-17,Paid Social,B,True,2024-01-22
336,2024-01-15,Referral,B,False,
337,2024-11-08,Organic,A,True,2024-11-13
338,2024-09-13,Organic,A,False,
339,2024-06-22,Organic,B,True,2024-06-26
340,2024-02-05,Paid Social,A,True,2024-02-08
341,2024-06-28,Influencer,A,True,2024-07-05
342,2024-06-21,Paid Social,B,True,2024-06-22
343,2024-03-04,Influencer,B,True,2024-03-04
344,2024-06-07,Referral,A,True,2024-06-14
345,2024-05-25,Organic,B,True,2024-05-27
346,2024-08-12,Referral,A,True,2024-08-18
347,2024-08-19,Organic,A,False,
348,2024-01-17,Paid Social,B,False,
349,2024-05-16,Paid Social,B,False,
350,2024-08-16,Referral,A,True,2024-08-21
351,2024-07-02,Referral,B,True,2024-07-07
352,2024-11-08,Organic,B,True,2024-11-08
353,2024-08-28,Referral,B,True,2024-08-30
354,2024-02-29,Organic,B,False,
355,2024-01-26,Influencer,B,False,
356,2024-08-22,Influencer,B,True,2024-08-22
357,2024-01-10,Paid Social,B,True,2024-01-16
358,2024-08-01,Paid Social,B,True,2024-08-01
359,2024-12-09,Influencer,A,False,
360,2024-07-29,Organic,A,False,
361,2024-05-21,Paid Social,B,True,2024-05-23
362,2024-08-22,Paid Social,A,True,2024-08-23
363,2024-06-16,Organic,A,True,2024-06-23
364,2024-07-18,Organic,B,True,2024-07-19
365,2024-12-09,Referral,B,True,2024-12-12
366,2024-05-20,Organic,B,False,
367,2024-12-16,Paid Social,A,True,2024-12-17
368,2024-11-26,Organic,B,False,
369,2024-03-12,Paid Social,B,False,
370,2024-01-26,Referral,A,True,2024-01-28
371,2024-02-06,Paid Social,A,True,2024-02-07
372,2024-01-07,Referral,A,True,2024-01-10
373,2024-02-04,Paid Social,A,True,2024-02-11
374,2024-09-06,Organic,B,True,2024-09-08
375,2024-01-26,Referral,B,True,2024-01-31
376,2024-04-26,Paid Social,B,True,2024-04-30
377,2024-11-04,Referral,B,True,2024-11-06
378,2024-01-09,Organic,B,True,2024-01-09
379,2024-10-24,Paid Social,A,False,
380,2024-04-12,Organic,A,True,2024-04-14
381,2024-02-13,Organic,A,True,2024-02-17
382,2024-09-11,Influencer,A,False,
383,2024-08-17,Organic,B,False,
384,2024-11-16,Paid Social,B,True,2024-11-23
385,2024-09-25,Organic,B,True,2024-09-25
386,2024-10-20,Paid Social,A,False,
387,2024-04-12,Organic,A,False,
388,2024-03-05,Referral,A,False,
389,2024-09-30,Organic,B,False,
390,2024-10-21,Organic,A,False,
391,2024-12-27,Organic,A,True,2024-12-31
392,2024-05-30,Organic,A,False,
393,2024-05-15,Paid Social,B,True,2024-05-18
394,2024-10-10,Paid Social,A,True,2024-10-15
395,2024-05-04,Paid Social,B,True,2024-05-11
396,2024-12-05,Paid Social,A,False,
397,2024-11-09,Organic,B,False,
398,2024-06-05,Paid Social,B,False,
399,2024-10-01,Paid Social,A,True,2024-10-01
400,2024-10-02,Organic,B,False,
401,2024-02-07,Organic,A,True,2024-02-10
402,2024-11-25,Paid Social,B,False,
403,2024-07-03,Referral,A,False,
404,2024-10-28,Referral,B,False,
405,2024-04-26,Organic,B,True,2024-04-28
406,2024-11-22,Organic,A,True,2024-11-28
407,2024-05-22,Influencer,A,False,
408,2024-01-04,Paid Social,A,False,
409,2024-11-26,Influencer,B,False,
410,2024-02-03,Organic,A,True,2024-02-09
411,2024-04-26,Paid Social,B,True,2024-04-28
412,2024-12-12,Organic,A,True,2024-12-18
413,2024-12-12,Referral,A,False,
414,2024-07-28,Paid Social,B,True,2024-08-03
415,2024-08-18,Paid Social,B,False,
416,2024-06-12,Influencer,A,False,
417,2024-04-17,Organic,A,True,2024-04-17
418,2024-04-29,Paid Social,A,True,2024-05-03
419,2024-09-02,Organic,A,True,2024-09-04
420,2024-10-01,Organic,A,True,2024-10-08
421,2024-10-15,Organic,A,False,
422,2024-10-15,Organic,A,False,
423,2024-02-03,Paid Social,B,True,2024-02-06
424,2024-06-29,Organic,B,False,
425,2024-01-22,Organic,B,True,2024-01-29
426,2024-07-19,Referral,B,False,
427,2024-06-10,Paid Social,A,True,2024-06-15
428,2024-11-20,Organic,B,False,
429,2024-05-08,Referral,A,True,2024-05-13
430,2024-02-12,Paid Social,A,True,2024-02-15
431,2024-02-22,Referral,A,True,2024-02-29
432,2024-10-04,Organic,B,False,
433,2024-08-13,Influencer,A,False,
434,2024-02-06,Influencer,A,False,
435,2024-01-31,Referral,B,False,
436,2024-09-12,Organic,A,False,
437,2024-01-27,Referral,A,True,2024-01-28
438,2024-10-26,Referral,B,True,2024-10-30
439,2024-09-14,Organic,A,True,2024-09-18
440,2024-01-30,Organic,B,True,2024-02-01
441,2024-01-31,Organic,B,True,2024-02-05
442,2024-12-26,Paid Social,B,False,
443,2024-05-16,Organic,A,False,
444,2024-05-15,Paid Social,B,False,
445,2024-10-23,Organic,B,True,2024-10-30
446,2024-12-11,Organic,B,False,
447,2024-12-25,Paid Social,A,True,2024-12-31
448,2024-10-01,Organic,A,True,2024-10-03
449,2024-05-17,Paid Social,B,True,2024-05-17
450,2024-01-31,Influencer,B,True,2024-01-31
451,2024-10-10,Referral,A,True,2024-10-13
452,2024-07-22,Organic,A,False,
453,2024-06-03,Influencer,B,False,
454,2024-11-26,Paid Social,B,True,2024-12-03
455,2024-02-10,Paid Social,A,True,2024-02-17
456,2024-06-28,Organic,B,False,
457,2024-01-05,Organic,B,True,2024-01-10
458,2024-06-20,Organic,A,False,
459,2024-01-21,Referral,A,True,2024-01-23
460,2024-02-13,Organic,A,False,
461,2024-02-12,Paid Social,A,True,2024-02-12
462,2024-08-24,Paid Social,B,True,2024-08-28
463,2024-09-29,Organic,A,True,2024-10-04
464,2024-07-31,Referral,A,True,2024-08-05
465,2024-12-17,Referral,A,True,2024-12-24
466,2024-05-16,Organic,B,False,
467,2024-04-14,Paid Social,B,True,2024-04-20
468,2024-11-13,Organic,B,True,2024-11-17
469,2024-03-22,Paid Social,B,True,2024-03-23
470,2024-12-17,Paid Social,B,True,2024-12-24
471,2024-01-05,Organic,A,False,
472,2024-12-20,Paid Social,A,False,
473,2024-01-16,Organic,B,True,2024-01-18
474,2024-11-21,Paid Social,A,True,2024-11-21
475,2024-07-11,Referral,A,False,
476,2024-12-28,Organic,B,False,
477,2024-01-27,Organic,A,True,2024-01-31
478,2024-07-21,Organic,B,True,2024-07-28
479,2024-12-19,Paid Social,B,True,2024-12-21
480,2024-07-09,Referral,B,False,
481,2024-08-17,Paid Social,A,True,2024-08-21
482,2024-09-10,Organic,B,True,2024-09-16
483,2024-06-14,Influencer,A,True,2024-06-18
484,2024-08-17,Paid Social,A,True,2024-08-24
485,2024-08-01,Influencer,A,False,
486,2024-11-24,Referral,A,True,2024-12-01
487,2024-01-17,Influencer,B,True,2024-01-22
488,2024-04-12,Paid Social,A,True,2024-04-18
489,2024-12-12,Influencer,A,True,2024-12-14
490,2024-11-20,Paid Social,A,False,
491,2024-06-15,Paid Social,B,True,2024-06-20
492,2024-08-14,Organic,A,False,
493,2024-04-11,Influencer,B,True,2024-04-17
494,2024-03-09,Organic,A,True,2024-03-14
495,2024-06-18,Paid Social,A,False,
496,2024-05-08,Organic,A,False,
497,2024-08-01,Referral,B,True,2024-08-08
498,2024-01-29,Organic,B,True,2024-02-01
499,2024-12-21,Influencer,B,False,
500,2024-12-25,Paid Social,A,False,
501,2024-09-11,Influencer,B,False,
502,2024-07-14,Paid Social,A,True,2024-07-20
503,2024-04-22,Paid Social,A,True,2024-04-22
504,2024-10-24,Organic,B,True,2024-10-27
505,2024-09-06,Organic,A,True,2024-09-09
506,2024-02-29,Organic,B,False,
507,2024-11-28,Organic,A,False,
508,2024-10-27,Paid Social,A,False,
509,2024-12-12,Organic,B,True,2024-12-12
510,2024-09-21,Organic,A,True,2024-09-21
511,2024-08-11,Referral,A,False,
512,2024-06-01,Organic,A,True,2024-06-04
513,2024-12-06,Organic,B,False,
514,2024-11-12,Organic,A,False,
515,2024-01-17,Referral,A,True,2024-01-22
516,2024-01-10,Referral,B,False,
517,2024-05-17,Referral,A,True,2024-05-22
518,2024-10-22,Influencer,A,True,2024-10-25
519,2024-12-26,Paid Social,B,False,
520,2024-02-24,Paid Social,A,True,2024-02-26
521,2024-08-04,Paid Social,B,True,2024-08-05
522,2024-05-19,Influencer,A,True,2024-05-21
523,2024-12-20,Referral,B,True,2024-12-20
524,2024-11-03,Paid Social,B,True,2024-11-09
525,2024-11-01,Paid Social,B,False,
526,2024-06-20,Organic,A,True,2024-06-24
527,2024-05-31,Organic,A,True,2024-06-04
528,2024-04-09,Organic,B,False,
529,2024-01-21,Organic,A,False,
530,2024-11-11,Paid Social,B,True,2024-11-15
531,2024-10-23,Referral,B,False,
532,2024-12-30,Referral,B,True,2024-12-30
533,2024-12-29,Paid Social,A,False,
534,2024-07-21,Organic,A,True,2024-07-22
535,2024-10-07,Paid Social,A,False,
536,2024-12-10,Organic,A,True,2024-12-11
537,2024-11-06,Organic,A,True,2024-11-10
538,2024-03-31,Organic,A,True,2024-04-05
539,2024-06-13,Referral,A,False,
540,2024-02-17,Referral,B,True,2024-02-17
541,2024-12-14,Paid Social,B,False,
542,2024-08-09,Organic,A,False,
543,2024-03-24,Organic,B,True,2024-03-26
544,2024-09-02,Influencer,B,True,2024-09-08
545,2024-08-13,Referral,A,True,2024-08-13
546,2024-05-10,Referral,B,False,
547,2024-02-11,Referral,A,True,2024-02-16
548,2024-09-02,Influencer,B,True,2024-09-05
549,2024-07-08,Paid Social,B,False,
550,2024-10-08,Paid Social,A,True,2024-10-10
551,2024-07-08,Organic,B,True,2024-07-11
552,2024-11-07,Influencer,B,False,
553,2024-07-20,Organic,A,False,
554,2024-07-23,Paid Social,B,True,2024-07-27
555,2024-11-15,Paid Social,B,True,2024-11-17
556,2024-05-27,Influencer,B,False,
557,2024-02-18,Organic,B,False,
558,2024-01-11,Paid Social,B,True,2024-01-12
559,2024-10-02,Influencer,A,True,2024-10-03
560,2024-08-14,Paid Social,B,True,2024-08-19
561,2024-09-13,Paid Social,A,True,2024-09-13
562,2024-03-18,Paid Social,A,False,
563,2024-02-19,Referral,B,False,
564,2024-01-06,Organic,A,True,2024-01-06
565,2024-05-07,Referral,B,False,
566,2024-08-03,Organic,A,True,2024-08-07
567,2024-05-23,Referral,A,False,
568,2024-06-08,Referral,A,False,
569,2024-11-26,Paid Social,A,True,2024-12-01
570,2024-05-07,Paid Social,A,False,
571,2024-07-06,Referral,B,True,2024-07-06
572,2024-10-13,Organic,A,True,2024-10-17
573,2024-05-24,Paid Social,B,True,2024-05-30
574,2024-08-15,Organic,B,True,2024-08-15
575,2024-11-10,Paid Social,A,False,
576,2024-12-12,Organic,A,False,
577,2024-02-23,Organic,A,True,2024-02-28
578,2024-12-04,Paid Social,A,False,
579,2024-06-28,Paid Social,B,True,2024-06-28
580,2024-04-04,Paid Social,A,False,
581,2024-06-16,Paid Social,A,False,
582,2024-12-23,Organic,A,False,
583,2024-06-28,Organic,A,True,2024-07-05
584,2024-04-29,Organic,B,True,2024-05-02
585,2024-08-19,Paid Social,A,True,2024-08-19
586,2024-03-28,Paid Social,A,True,2024-04-01
587,2024-01-28,Paid Social,A,False,
588,2024-02-17,Paid Social,A,True,2024-02-22
589,2024-02-16,Paid Social,A,True,2024-02-18
590,2024-02-25,Organic,A,False,
591,2024-02-20,Paid Social,A,False,
592,2024-08-21,Organic,B,True,2024-08-25
593,2024-03-07,Paid Social,A,False,
594,2024-05-06,Paid Social,A,True,2024-05-09
595,2024-11-23,Paid Social,B,False,
596,2024-06-21,Referral,A,False,
597,2024-08-31,Referral,A,True,2024-09-02
598,2024-03-03,Referral,B,False,
599,2024-03-11,Paid Social,B,False,
600,2024-01-15,Organic,A,False,
601,2024-03-02,Organic,A,False,
602,2024-04-11,Organic,A,True,2024-04-16
603,2024-03-05,Paid Social,A,True,2024-03-11
604,2024-02-02,Influencer,B,True,2024-02-04
605,2024-02-14,Referral,A,True,2024-02-18
606,2024-06-17,Paid Social,B,False,
607,2024-03-16,Organic,B,False,
608,2024-05-12,Organic,B,False,
609,2024-07-02,Organic,B,True,2024-07-06
610,2024-09-08,Paid Social,B,True,2024-09-13
611,2024-01-15,Paid Social,B,False,
612,2024-10-18,Organic,A,True,2024-10-20
613,2024-08-17,Organic,B,False,
614,2024-01-30,Organic,A,False,
615,2024-11-14,Organic,A,False,
616,2024-12-02,Paid Social,A,True,2024-12-07
617,2024-01-23,Organic,A,True,2024-01-23
618,2024-04-11,Organic,B,True,2024-04-17
619,2024-10-21,Organic,A,False,
620,2024-09-30,Paid Social,A,False,
621,2024-03-08,Organic,B,True,2024-03-15
622,2024-03-17,Organic,B,False,
623,2024-05-15,Organic,B,True,2024-05-21
624,2024-06-25,Organic,B,True,2024-06-25
625,2024-08-13,Referral,A,True,2024-08-16
